leto,država,id,ime,p1,p2,p3,p4,p5,p6,vsota,nagrada
1960,Hungary,12698,András Gagyi Pálffy,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1960,Hungary,12700,János Hahn,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1960,Romania,9802,Cezar Gheorghe,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Gold medal
1960,Romania,16122,Nicolae Popa,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Silver medal
1960,Romania,16123,Şerban Strătilă,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Bronze medal
1960,Romania,9795,Basarab Nicolescu,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Honourable mention
1960,Romania,,?,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1960,Romania,,?,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1960,Romania,,?,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1960,Romania,,?,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1960,Bulgaria,16129,Petr Petrov,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Bronze medal
1960,Bulgaria,16130,Todor Bojanov,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Honourable mention
1960,Bulgaria,16131,Panaiot Vlaev,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Honourable mention
1960,Bulgaria,16132,Stamen Chakrov,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1960,Bulgaria,16133,Nikola Arbov,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1960,Bulgaria,16134,Krasimir Trkalanov,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1960,Bulgaria,16135,Breizitsa Popova,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1960,Bulgaria,16136,Georgi Demirev,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1960,German Democratic Republic,12771,Klaus Walter,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Honourable mention
1960,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1960,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1960,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1960,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1960,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1960,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1961,Hungary,9800,Béla Bollobás,6,7,7,6,7,7,40,Gold medal
1961,Hungary,9804,József Kóta,unknown,unknown,unknown,unknown,unknown,unknown,37,Gold medal
1961,Hungary,9814,Gerzson Kéry,unknown,unknown,unknown,unknown,unknown,unknown,36,Silver medal
1961,Hungary,12701,István Juhász,unknown,unknown,unknown,unknown,unknown,unknown,34,Silver medal
1961,Hungary,9817,Miklós Simonovits,unknown,unknown,unknown,unknown,unknown,unknown,34,Silver medal
1961,Hungary,9816,László Gálfi,unknown,unknown,unknown,unknown,unknown,unknown,33,Bronze medal
1961,Hungary,12706,László Góth,unknown,unknown,unknown,unknown,unknown,unknown,29,Honourable mention
1961,Hungary,12695,József Fritz,unknown,unknown,unknown,unknown,unknown,unknown,27,Honourable mention
1961,Poland,9805,Maciej Skwarczyński,unknown,unknown,unknown,unknown,unknown,unknown,39,Gold medal
1961,Poland,9822,Marcin Kuczma,unknown,unknown,unknown,unknown,unknown,unknown,29,Honourable mention
1961,Poland,15903,Marian Osiewicz,unknown,unknown,unknown,unknown,unknown,unknown,29,Honourable mention
1961,Poland,,?,unknown,unknown,unknown,unknown,unknown,unknown,24,Honourable mention
1961,Poland,,?,unknown,unknown,unknown,unknown,unknown,unknown,23,Honourable mention
1961,Poland,,?,unknown,unknown,unknown,unknown,unknown,unknown,23,Honourable mention
1961,Poland,,?,unknown,unknown,unknown,unknown,unknown,unknown,20,Honourable mention
1961,Poland,,?,unknown,unknown,unknown,unknown,unknown,unknown,16,
1961,Romania,16181,Constantin Năstăsescu,unknown,unknown,unknown,unknown,unknown,unknown,34,Silver medal
1961,Romania,16182,Tudor Zamifrescu,unknown,unknown,unknown,unknown,unknown,unknown,30,Bronze medal
1961,Romania,,?,unknown,unknown,unknown,unknown,unknown,unknown,28,Honourable mention
1961,Romania,,?,unknown,unknown,unknown,unknown,unknown,unknown,27,Honourable mention
1961,Romania,,?,unknown,unknown,unknown,unknown,unknown,unknown,26,Honourable mention
1961,Romania,,?,unknown,unknown,unknown,unknown,unknown,unknown,26,Honourable mention
1961,Romania,,?,unknown,unknown,unknown,unknown,unknown,unknown,14,
1961,Romania,,?,unknown,unknown,unknown,unknown,unknown,unknown,12,
1961,Czechoslovakia,16159,Tomáš Jech,unknown,unknown,unknown,unknown,unknown,unknown,33,Bronze medal
1961,Czechoslovakia,,?,unknown,unknown,unknown,unknown,unknown,unknown,25,Honourable mention
1961,Czechoslovakia,,?,unknown,unknown,unknown,unknown,unknown,unknown,24,Honourable mention
1961,Czechoslovakia,,?,unknown,unknown,unknown,unknown,unknown,unknown,21,Honourable mention
1961,Czechoslovakia,,?,unknown,unknown,unknown,unknown,unknown,unknown,16,
1961,Czechoslovakia,,?,unknown,unknown,unknown,unknown,unknown,unknown,15,
1961,Czechoslovakia,,?,unknown,unknown,unknown,unknown,unknown,unknown,13,
1961,Czechoslovakia,,?,unknown,unknown,unknown,unknown,unknown,unknown,12,
1961,German Democratic Republic,12774,Thomas Görnitz,unknown,unknown,unknown,unknown,unknown,unknown,31,Bronze medal
1961,German Democratic Republic,12779,Heike Wenzel,unknown,unknown,unknown,unknown,unknown,unknown,23,Honourable mention
1961,German Democratic Republic,12778,Mary Schleifstein,unknown,unknown,unknown,unknown,unknown,unknown,22,Honourable mention
1961,German Democratic Republic,12775,Gerd Naß,unknown,unknown,unknown,unknown,unknown,unknown,20,Honourable mention
1961,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,14,
1961,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,13,
1961,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,12,
1961,German Democratic Republic,,?,unknown,unknown,unknown,unknown,unknown,unknown,11,
1961,Bulgaria,16137,Atanas Atanasov,5,7,6,6,4,0,28,Honourable mention
1961,Bulgaria,16138,Atanaska Stoianova,2,7,0,0,4,5,18,
1961,Bulgaria,16139,Kamen Koev,4,5,4,2,0,0,15,
1961,Bulgaria,16140,Rumen Maleev,5,2,0,2,5,0,14,
1961,Bulgaria,16141,Rumiana Proikova,4,0,1,6,3,0,14,
1961,Bulgaria,16142,Nikolai Budakov,3,0,5,0,4,1,13,
1961,Bulgaria,16143,Todor Bulev,0,0,0,0,0,4,4,
1961,Bulgaria,16144,Milka Popova,0,0,0,2,0,0,2,
1962,Hungary,9814,Gerzson Kéry,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Gold medal
1962,Hungary,9819,Zoltán Sebestyén,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Gold medal
1962,Hungary,9804,József Kóta,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Silver medal
1962,Hungary,9816,László Gálfi,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Silver medal
1962,Hungary,9820,Ferenc Szidarovszky,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Silver medal
1962,Hungary,9818,András Benczúr,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Bronze medal
1962,Hungary,9817,Miklós Simonovits,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Bronze medal
1962,Hungary,12707,András Gyárfás,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
1962,Union of Soviet Socialist Republics,9831,Iosif Bernstein,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Gold medal
1962,Union of Soviet Socialist Republics,9832,Lidia Goncarova,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Gold medal
1962,Union of Soviet Socialist Republics,9837,Aleksei Potepun,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Silver medal
1962,Union of Soviet Socialist Republics,9834,Grigori Margulis,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Silver medal
1962,Union of Soviet Socialist Republics,9833,Genadi Kuranov,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Bronze medal
1962,Union of Soviet Socialist Republics,9835,Daniar Mustari,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Bronze medal
1962,Union of Soviet Socialist Republics,,?,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
