leto,gostiteljica,država,leader,deputy leader
1997,Argentina,Paraguay,,
1997,Argentina,Puerto Rico,,
1997,Argentina,Guatemala,,
1997,Argentina,Cyprus,,
1997,Argentina,Venezuela,,
1997,Argentina,Algeria,,
1998,Taiwan,Islamic Republic of Iran,Asadollah Razavi,Yahya Tabesh
1998,Taiwan,Bulgaria,Oleg Mouchkarov,Sava Grozdev
1998,Taiwan,Hungary,József Pelikán,Sándor Dobos
1998,Taiwan,United States of America,Titu Andreescu,Elgin Johnston
1998,Taiwan,Taiwan,Liang-Ju Chu,Cheng-Der Fuh
1998,Taiwan,Russian Federation,Nazar Agakhanov,Galina Kuznetsova
1998,Taiwan,India,Shailesh A Shirali,Chalya S. Yogananda
1998,Taiwan,Ukraine,Vadim Radchenko,Valentyna Borysova
1998,Taiwan,Vietnam,Thang Dang Hung,Nguyen Viet Hai
1998,Taiwan,Yugoslavia,Pavle Mladenović,Ratko Tošić
1998,Taiwan,Romania,Ioan Mircea Becheanu,Mihail Bălună
1998,Taiwan,Republic of Korea,Myung-Hwan Kim,Ki Hyoung Ko
1998,Taiwan,Australia,David Hunt,Angelo Di Pasquale
1998,Taiwan,Japan,Tetsuya Ando,Shinichi Suzuki
1998,Taiwan,Czech Republic,Karel Horák,Jaromír Šimša
1998,Taiwan,Germany,Hans-Dietrich Gronau,Martin Harterich
1998,Taiwan,Turkey,Semih Koray,Halil İbrahim Karakaş
1998,Taiwan,United Kingdom,Adam Clark McBride,Philip John Coggins
1998,Taiwan,Belarus,Igor Voronovich,Serguei Mazanik
1998,Taiwan,Canada,Christopher Small,J.P. Grossman
1998,Taiwan,Poland,Marcin E. Kuczma,Waldemar Pompe
1998,Taiwan,Croatia,Željko Hanjš,Ilko Brnetić
1998,Taiwan,Singapore,Seng Kiat Chua,Mun Yew Lee
1998,Taiwan,Israel,Shay Gueron,Shoni Dar
1998,Taiwan,Hong Kong,Kam Moon Liu,Wai Tong Lau
1998,Taiwan,Armenia,Nairi Sedrakyan,Garnik Karapetyan
1998,Taiwan,France,Claude Deschamps,Laurent Rosaz
1998,Taiwan,South Africa,John Webb,Nic Heideman
1998,Taiwan,Argentina,Patricia Fauring,Flora Gutierrez
1998,Taiwan,Brazil,Elio Mega,Edmilson Motta
1998,Taiwan,Mongolia,Tserendorj Dashdorj,Bataa Munkhjargal
1998,Taiwan,Greece,Theodoros Bolis,Efstratios Rappos
1998,Taiwan,Bosnia and Herzegovina,Muharem Avdispahić,Hasan Jamak
1998,Taiwan,Slovakia,Pavol Černek,Vladislav Rosa
1998,Taiwan,Kazakhstan,Yerzhan Baisalov,Umit Zhexenbayeva
1998,Taiwan,Georgia,Konstantine Tsiskaridze,George Bareladze
1998,Taiwan,Latvia,Agnis Andzans,Juris Smotrovs
1998,Taiwan,Italy,Roberto Dvornicich,Massimo Gobbino
1998,Taiwan,Belgium,Gerald Troessaert,Noel Vanhaverbeke
1998,Taiwan,North Macedonia,Dončo Dimovski,Risto Malčeski
1998,Taiwan,Colombia,Maria Losada,Federico Ardila
1998,Taiwan,Thailand,Vichian Laohakosol,Amorn Wasanawichit
1998,Taiwan,Estonia,Uve Nummert,Jan Villemson
1998,Taiwan,Mexico,Maria Luisa Perez Segui,Jose Antonio Gomez Ortega
1998,Taiwan,Netherlands,Jan Donkers,Sander van Rijnswou
1998,Taiwan,Peru,Emilio Gonzaga,
1998,Taiwan,Sweden,Åke Samuelsson,Andreas Strömbergsson
1998,Taiwan,Austria,Thomas Mühlgassner,Gerhard Windischbacher
1998,Taiwan,New Zealand,Arkadii Slinko,Michael Albert
1998,Taiwan,Republic of Moldova,Valeriu Gutu,Boris Cinic
1998,Taiwan,Slovenia,Darjo Felda,Matjaž Željko
1998,Taiwan,Iceland,Geir Agnarsson,Eyglo Gudmundsdottir
1998,Taiwan,Morocco,Mouloud Achouri,Mohamed Abdelmoumen Elrhezzali
1998,Taiwan,Azerbaijan,Jalal Allahverdiyev,Rafig Kouliyev
1998,Taiwan,Lithuania,Juozas Juvencijus Macys,Romualdas Kasuba
1998,Taiwan,Cyprus,Gregory Makrides,Savvas Antoniou
1998,Taiwan,Switzerland,Bea Wollenmann,Sylvie Conod
1998,Taiwan,Ireland,Fergus Gaines,Gordon Lessells
1998,Taiwan,Spain,Maria Gaspar Alonso Vega,Salvador Villegas
1998,Taiwan,Trinidad and Tobago,Ravindra Maharaj,Indra Haraksingh
1998,Taiwan,Norway,Einar Andreas Rodland,Johannes Kleppe
1998,Taiwan,Malaysia,MD.Tap Abu Osman,Ismail Mat Rofa
1998,Taiwan,Finland,Matti Lehtinen,Jouni Seppänen
1998,Taiwan,Macau,Sik Chung Tam,Ieng Tak Leong
1998,Taiwan,Luxembourg,Charles Leytem,Claudine Bausch
1998,Taiwan,Denmark,Poul Printz,Kirsten Rosenkilde
1998,Taiwan,Cuba,Rojas Ochoa,
1998,Taiwan,Indonesia,Andi Hakim Nasoetion,Suryo Gurttno
1998,Taiwan,Kyrgyzstan,Isak Bekboyev,Maya Kim
1998,Taiwan,Philippines,Jose Marasigan,Emmanhel Cabral
1998,Taiwan,Uruguay,Ariel Affonso Varela,Americo Gaudio Artigas
1998,Taiwan,Paraguay,Jose Guillermo von Lucken Martinez,Gabriela Irene Gomez de Ficorilli
1998,Taiwan,Portugal,Raquel Caseiro,Joana Correia
1998,Taiwan,Sri Lanka,Wimelaratna Ramasinghe,
1998,Taiwan,Venezuela,Rafael Sánchez,Andres Moya
1998,Taiwan,Kuwait,Ali Al-Sarraf,Ibrahim Al-Qattan
1999,Romania,People's Republic of China,,
1999,Romania,Russian Federation,,
1999,Romania,Vietnam,,
1999,Romania,Romania,Mircea Becheanu,Bogdan Enescu
1999,Romania,Bulgaria,Sava Grozdev,Emil Kolev
1999,Romania,Belarus,,
1999,Romania,Republic of Korea,,
1999,Romania,Islamic Republic of Iran,Asadollah Razavi,Yahya Tabesh
1999,Romania,Taiwan,,
1999,Romania,United States of America,,
1999,Romania,Hungary,József Pelikán,Sándor Dobos
1999,Romania,Ukraine,,
1999,Romania,Japan,,
1999,Romania,Yugoslavia,,
1999,Romania,Australia,David Hunt,Angelo Di Pasquale
1999,Romania,Turkey,Semih Koray,Ali Doğanaksoy
1999,Romania,Germany,,
1999,Romania,India,,
1999,Romania,Poland,Marcin E. Kuczma,Rafał Łochowski
1999,Romania,United Kingdom,Imre Benett Leader,Richard Atkins
1999,Romania,Slovakia,Pavol Černek,Vladislav Rosa
1999,Romania,Latvia,,
1999,Romania,Italy,,
1999,Romania,Switzerland,,
1999,Romania,Israel,Shay Gueron,Shoni Dar
1999,Romania,Mongolia,,
1999,Romania,Cuba,,
1999,Romania,South Africa,Nic Heideman,Dirk Laurie
1999,Romania,Austria,,
1999,Romania,Brazil,,
1999,Romania,Canada,Edward Barbeau,Arthur Baragar
1999,Romania,Netherlands,Jan Donkers,Ronald van Luijk
1999,Romania,France,Claude Deschamps,
1999,Romania,Hong Kong,Ping Kwan Tam,Mee Lin Luk
1999,Romania,Kazakhstan,,
1999,Romania,North Macedonia,,
1999,Romania,Singapore,Yan Loi Wong,Tin Lam Toh
1999,Romania,Georgia,,
1999,Romania,Armenia,,
1999,Romania,Norway,,
1999,Romania,Croatia,Željko Hanjš,Ilko Brnetić
1999,Romania,Sweden,Paul Vaderlind,Andreas Strömbergsson
1999,Romania,Bosnia and Herzegovina,,
1999,Romania,Finland,Kerkko Luosto,Matti Lehtinen
1999,Romania,Argentina,,
1999,Romania,Spain,María Gaspar Alonso-Vega,Marco Castrillón López
1999,Romania,Greece,Anargyros Fellouris,Efstratios Rappos
1999,Romania,Thailand,Vichian Laohakosol,Suwimon Hall
1999,Romania,Colombia,,
1999,Romania,Czech Republic,Jaromír Šimša,Jaroslav Švrček
1999,Romania,Lithuania,,
1999,Romania,Mexico,,
1999,Romania,New Zealand,,
1999,Romania,Belgium,,
1999,Romania,Denmark,Kai Neergård,Søren Galatius
1999,Romania,Republic of Moldova,Valeriu Guţu,Valeriu Baltag
1999,Romania,Morocco,,
1999,Romania,Slovenia,Darjo Felda,Matjaž Željko
1999,Romania,Uzbekistan,,
1999,Romania,Iceland,,
1999,Romania,Macau,,
1999,Romania,Ireland,Kevin Hutchinson,Gordon Lessells
1999,Romania,Malaysia,,
1999,Romania,Cyprus,,
1999,Romania,Indonesia,,
1999,Romania,Albania,,
1999,Romania,Azerbaijan,,
1999,Romania,Trinidad and Tobago,,
1999,Romania,Estonia,,
1999,Romania,Portugal,Joana Teles,António Salgueiro
1999,Romania,Luxembourg,Charles Leytem,Pascal Zeihen
1999,Romania,Uruguay,,
1999,Romania,Philippines,,
1999,Romania,Tunisia,,
1999,Romania,Guatemala,,
1999,Romania,Kyrgyzstan,,
1999,Romania,Turkmenistan,,
1999,Romania,Kuwait,,
1999,Romania,Peru,,
1999,Romania,Venezuela,,
1999,Romania,Sri Lanka,Wimelaratna Ramasinghe,
2000,Republic of Korea,People's Republic of China,,
2000,Republic of Korea,Russian Federation,,
2000,Republic of Korea,United States of America,,
2000,Republic of Korea,Republic of Korea,,
2000,Republic of Korea,Bulgaria,Sava Grozdev,Emil Kolev
2000,Republic of Korea,Vietnam,,
2000,Republic of Korea,Belarus,,
2000,Republic of Korea,Taiwan,,
2000,Republic of Korea,Hungary,József Pelikán,Sándor Dobos
2000,Republic of Korea,Islamic Republic of Iran,Yahya Tabesh,Omid Naghshineh Arimand
2000,Republic of Korea,Israel,Shay Gueron,Shoni Dar
2000,Republic of Korea,Romania,Mircea Becheanu,Bogdan Enescu
2000,Republic of Korea,Ukraine,,
2000,Republic of Korea,India,,
2000,Republic of Korea,Japan,,
2000,Republic of Korea,Australia,David Hunt,Angelo Di Pasquale
2000,Republic of Korea,Canada,Andrew Liu,Christopher Small
2000,Republic of Korea,Slovakia,Vladislav Rosa,Juraj Földes
2000,Republic of Korea,Turkey,Semih Koray,Ali Doğanaksoy
2000,Republic of Korea,Armenia,,
2000,Republic of Korea,Germany,,
2000,Republic of Korea,United Kingdom,Imre Benett Leader,Richard Atkins
2000,Republic of Korea,Yugoslavia,,
2000,Republic of Korea,Kazakhstan,,
2000,Republic of Korea,Argentina,,
2000,Republic of Korea,Republic of Moldova,Valeriu Guţu,Valeriu Baltag
2000,Republic of Korea,South Africa,Nic Heideman,Dirk Laurie
2000,Republic of Korea,Hong Kong,Ping Kwan Tam,Yat Ming Ng
2000,Republic of Korea,Bosnia and Herzegovina,,
2000,Republic of Korea,Thailand,Patanee Udomkavanich,Vichian Laohakosol
2000,Republic of Korea,Sweden,,
2000,Republic of Korea,Mexico,,
2000,Republic of Korea,Poland,Edmund Puczyłowski,Rafał Łochowski
2000,Republic of Korea,Croatia,Ilko Brnetić,Mea Bombardelli
2000,Republic of Korea,Slovenia,Gregor Dolinar,Matjaž Željko
2000,Republic of Korea,Georgia,,
2000,Republic of Korea,Singapore,Tiong Seng Tay,Hanyin Hsi
2000,Republic of Korea,Uzbekistan,,
2000,Republic of Korea,Austria,,
2000,Republic of Korea,Mongolia,,
2000,Republic of Korea,Switzerland,,
2000,Republic of Korea,Czech Republic,Karel Horák,Jaroslav Švrček
2000,Republic of Korea,North Macedonia,,
2000,Republic of Korea,Colombia,,
2000,Republic of Korea,Cuba,,
2000,Republic of Korea,Latvia,,
2000,Republic of Korea,Netherlands,Jan Donkers,Ronald van Luijk
2000,Republic of Korea,Brazil,,
2000,Republic of Korea,France,Claude Deschamps,
2000,Republic of Korea,Italy,,
2000,Republic of Korea,Indonesia,,
2000,Republic of Korea,Finland,Matti Lehtinen,Jari Lappalainen
2000,Republic of Korea,Belgium,,
2000,Republic of Korea,Luxembourg,Charles Leytem,Pascal Zeihen
2000,Republic of Korea,Morocco,,
2000,Republic of Korea,Greece,Anargyros Fellouris,Efstratios Rappos
2000,Republic of Korea,Norway,,
2000,Republic of Korea,Estonia,,
2000,Republic of Korea,Trinidad and Tobago,,
2000,Republic of Korea,Iceland,,
2000,Republic of Korea,Denmark,Jens-Søren Kjær Andersen,Max Petersen
2000,Republic of Korea,Lithuania,,
2000,Republic of Korea,New Zealand,,
2000,Republic of Korea,Azerbaijan,,
2000,Republic of Korea,Cyprus,,
2000,Republic of Korea,Malaysia,,
2000,Republic of Korea,Peru,,
2000,Republic of Korea,Spain,María Gaspar Alonso-Vega,Juan Manuel Conde Calero
2000,Republic of Korea,Ireland,Fergus Gaines,Gordon Lessells
2000,Republic of Korea,Philippines,,
2000,Republic of Korea,Uruguay,,
2000,Republic of Korea,Portugal,Joana Teles,José Santos
2000,Republic of Korea,Sri Lanka,Upali Mampitiya,Menaka Liyanage
2000,Republic of Korea,Ecuador,,
2000,Republic of Korea,Albania,,
2000,Republic of Korea,Kyrgyzstan,,
2000,Republic of Korea,Macau,,
2000,Republic of Korea,Kuwait,,
2000,Republic of Korea,Guatemala,,
2000,Republic of Korea,Venezuela,,
2000,Republic of Korea,Brunei,,
2000,Republic of Korea,Puerto Rico,,
2001,United States of America,People's Republic of China,,
2001,United States of America,Russian Federation,,
2001,United States of America,United States of America,,
2001,United States of America,Bulgaria,Sava Grozdev,Emil Kolev
2001,United States of America,Republic of Korea,,
2001,United States of America,Kazakhstan,,
2001,United States of America,India,,
2001,United States of America,Ukraine,,
2001,United States of America,Taiwan,,
2001,United States of America,Vietnam,,
2001,United States of America,Turkey,Semih Koray,Azer Kerimov
2001,United States of America,Belarus,,
2001,United States of America,Japan,,
2001,United States of America,Germany,,
2001,United States of America,Romania,Mircea Becheanu,Mihai Bălună
2001,United States of America,Brazil,,
2001,United States of America,Israel,Shay Gueron,Shoni Dar
2001,United States of America,Islamic Republic of Iran,Yahya Tabesh,Omid Naghshineh Arimand
2001,United States of America,Hong Kong,Ping Kwan Tam,Kwong Shing Leung
2001,United States of America,Poland,Marcin E. Kuczma,Rafał Łochowski
2001,United States of America,Hungary,József Pelikán,Sándor Dobos
2001,United States of America,Argentina,,
2001,United States of America,Thailand,Patanee Udomkavanich,Wicharn Lewkeeratiyutkul
2001,United States of America,Canada,Christopher Small,Dorette Pronk
2001,United States of America,Australia,David Hunt,Angelo Di Pasquale
2001,United States of America,Cuba,,
2001,United States of America,Uzbekistan,,
2001,United States of America,France,Claude Deschamps,
2001,United States of America,Singapore,Tiong Seng Tay,Teck Kian Teo
2001,United States of America,Greece,Anargyros Fellouris,Sotirios Louridas
2001,United States of America,Mongolia,,
2001,United States of America,United Kingdom,Imre Benett Leader,Richard Atkins
2001,United States of America,Yugoslavia,,
2001,United States of America,Cyprus,,
2001,United States of America,Croatia,Ilko Brnetić,Mea Bombardelli
2001,United States of America,South Africa,Nic Heideman,Dirk Laurie
2001,United States of America,Estonia,,
2001,United States of America,Georgia,,
2001,United States of America,Latvia,,
2001,United States of America,Republic of Moldova,Valeriu Guţu,Valeriu Baltag
2001,United States of America,Peru,,
2001,United States of America,Colombia,,
2001,United States of America,North Macedonia,,
2001,United States of America,New Zealand,,
2001,United States of America,Czech Republic,Jaromír Šimša,Jaroslav Švrček
2001,United States of America,Italy,,
2001,United States of America,Mexico,,
2001,United States of America,Slovakia,Vojtech Bálint,Juraj Földes
2001,United States of America,Venezuela,,
2001,United States of America,Norway,,
2001,United States of America,Bosnia and Herzegovina,,
2001,United States of America,Morocco,,
2001,United States of America,Armenia,,
2001,United States of America,Netherlands,Jan Donkers,Ronald van Luijk
2001,United States of America,Austria,,
2001,United States of America,Lithuania,,
2001,United States of America,Switzerland,,
2001,United States of America,Spain,María Gaspar Alonso-Vega,Mercedes Sánchez Benito
2001,United States of America,Indonesia,,
2001,United States of America,Malaysia,,
2001,United States of America,Trinidad and Tobago,,
2001,United States of America,Tunisia,,
2001,United States of America,Finland,Matti Lehtinen,Jouni Seppänen
2001,United States of America,Ireland,Thomas Laffey,Gordon Lessells
2001,United States of America,Macau,,
2001,United States of America,Turkmenistan,,
2001,United States of America,Slovenia,Darjo Felda,Matjaž Željko
2001,United States of America,Belgium,,
2001,United States of America,Denmark,Peter Trosborg,Søren Galatius
2001,United States of America,Sweden,,
2001,United States of America,Sri Lanka,Upali Mampitiya,Chula Jayawardene
2001,United States of America,Albania,,
2001,United States of America,Azerbaijan,,
2001,United States of America,Iceland,,
2001,United States of America,Philippines,,
2001,United States of America,Guatemala,,
2001,United States of America,Uruguay,,
2001,United States of America,Portugal,Joana Teles,Daniel Pinto
2001,United States of America,Kyrgyzstan,,
2001,United States of America,Luxembourg,Charles Leytem,Pascal Zeihen
2001,United States of America,Kuwait,,
2001,United States of America,Paraguay,,
2001,United States of America,Ecuador,,
2002,United Kingdom,People's Republic of China,,
2002,United Kingdom,Russian Federation,,
2002,United Kingdom,United States of America,,
2002,United Kingdom,Bulgaria,Sava Grozdev,Emil Kolev
2002,United Kingdom,Vietnam,,
2002,United Kingdom,Republic of Korea,,
2002,United Kingdom,Taiwan,,
2002,United Kingdom,Romania,Mircea Becheanu,Bogdan Enescu
2002,United Kingdom,India,,
2002,United Kingdom,Germany,,
2002,United Kingdom,Islamic Republic of Iran,Yahya Tabesh,Omid Naghshineh Arimand
2002,United Kingdom,Canada,Arthur Baragar,Naoki Sato
2002,United Kingdom,Hungary,József Pelikán,Sándor Dobos
2002,United Kingdom,Belarus,,
2002,United Kingdom,Turkey,Semih Koray,Azer Kerimov
2002,United Kingdom,Japan,,
2002,United Kingdom,Kazakhstan,,
2002,United Kingdom,Israel,Shay Gueron,Shoni Dar
2002,United Kingdom,France,Claude Deschamps,
2002,United Kingdom,Ukraine,,
2002,United Kingdom,Brazil,,
2002,United Kingdom,Poland,Marcin E. Kuczma,Rafał Łochowski
2002,United Kingdom,Thailand,Wicharn Lewkeeratiyutkul,Nattaphan Kittisin
2002,United Kingdom,Hong Kong,Kin Yin Li,Kin Nam Chiang
2002,United Kingdom,Slovakia,Vojtech Bálint,Juraj Földes
2002,United Kingdom,Australia,Angelo Di Pasquale,Daniel Mathews
2002,United Kingdom,United Kingdom,Geoff Smith,Richard Atkins
2002,United Kingdom,Czech Republic,Jaromír Šimša,Jaroslav Zhouf
2002,United Kingdom,Yugoslavia,,
2002,United Kingdom,Singapore,Tiong Seng Tay,Manu Kapur
2002,United Kingdom,Argentina,,
2002,United Kingdom,South Africa,Nic Heideman,Dirk Laurie
2002,United Kingdom,Italy,,
2002,United Kingdom,Georgia,,
2002,United Kingdom,Mongolia,,
2002,United Kingdom,New Zealand,,
2002,United Kingdom,Colombia,,
2002,United Kingdom,Finland,Kerkko Luosto,Antti Honkela
2002,United Kingdom,Cuba,,
2002,United Kingdom,Estonia,,
2002,United Kingdom,Latvia,,
2002,United Kingdom,Lithuania,,
2002,United Kingdom,North Macedonia,,
2002,United Kingdom,Norway,,
2002,United Kingdom,Croatia,Željko Hanjš,Mea Bombardelli
2002,United Kingdom,Mexico,,
2002,United Kingdom,Greece,Anargyros Fellouris,Efstratios Rappos
2002,United Kingdom,Republic of Moldova,Valeriu Baltag,Serghei Paschin
2002,United Kingdom,Sweden,,
2002,United Kingdom,Uzbekistan,,
2002,United Kingdom,Peru,,
2002,United Kingdom,Belgium,,
2002,United Kingdom,Venezuela,,
2002,United Kingdom,Netherlands,Jan Donkers,Johan Bosman
2002,United Kingdom,Denmark,Kai Neergård,Thomas Kragh
2002,United Kingdom,Austria,,
2002,United Kingdom,Macau,,
2002,United Kingdom,Slovenia,Gregor Dolinar,Matjaž Željko
2002,United Kingdom,Turkmenistan,,
2002,United Kingdom,Spain,María Gaspar Alonso-Vega,Juan Manuel Conde Calero
2002,United Kingdom,Switzerland,,
2002,United Kingdom,Bosnia and Herzegovina,,
2002,United Kingdom,Morocco,,
2002,United Kingdom,Indonesia,,
2002,United Kingdom,Azerbaijan,,
2002,United Kingdom,Iceland,,
2002,United Kingdom,Armenia,,
2002,United Kingdom,Cyprus,,
2002,United Kingdom,Malaysia,,
2002,United Kingdom,Albania,,
2002,United Kingdom,Ireland,Eugene Gath,Gordon Lessells
2002,United Kingdom,Trinidad and Tobago,,
2002,United Kingdom,Tunisia,,
2002,United Kingdom,Philippines,,
2002,United Kingdom,Kyrgyzstan,,
2002,United Kingdom,Puerto Rico,,
2002,United Kingdom,Sri Lanka,Upali Mampitiya,Ruwan Wickramarachchi
2002,United Kingdom,Portugal,Raquel Caseiro,Sílvia Barbeiro
2002,United Kingdom,Luxembourg,Charles Leytem,Pascal Zeihen
2002,United Kingdom,Paraguay,,
2002,United Kingdom,Guatemala,,
2002,United Kingdom,Ecuador,,
2002,United Kingdom,Kuwait,,
2002,United Kingdom,Uruguay,,
2003,Japan,Bulgaria,Sava Grozdev,Emil Kolev
2003,Japan,People's Republic of China,,
2003,Japan,United States of America,,
2003,Japan,Vietnam,,
2003,Japan,Russian Federation,Nazar Agakhanov,
2003,Japan,Republic of Korea,,
2003,Japan,Romania,Radu Gologan,Mihai Bălună
2003,Japan,Turkey,Semih Koray,Azer Kerimov
2003,Japan,Japan,,
2003,Japan,Hungary,József Pelikán,Sándor Dobos
2003,Japan,United Kingdom,Geoff Smith,Richard Atkins
2003,Japan,Canada,Andrew Liu,Richard Hoshino
2003,Japan,Kazakhstan,,
2003,Japan,Ukraine,,
2003,Japan,India,,
2003,Japan,Taiwan,,
2003,Japan,Germany,,
2003,Japan,Islamic Republic of Iran,Arash Rastegar,Omid Naghshineh Arimand
2003,Japan,Belarus,,
2003,Japan,Thailand,Wicharn Lewkeeratiyutkul,Patanee Udomkavanich
2003,Japan,Israel,Shay Gueron,Shoni Dar
2003,Japan,Poland,Waldemar Pompe,Rafał Łochowski
2003,Japan,Serbia and Montenegro,,
2003,Japan,France,,
2003,Japan,Mongolia,,
2003,Japan,Australia,Angelo Di Pasquale,Daniel Mathews
2003,Japan,Brazil,,
2003,Japan,Argentina,,
2003,Japan,Hong Kong,Tat Wing Leung,Chit Wan Leung
2003,Japan,Greece,Anargyros Fellouris,Dimitrios Kontogiannis
2003,Japan,Republic of Moldova,Valeriu Baltag,Valentina Ceapa
2003,Japan,Georgia,,
2003,Japan,Croatia,Željko Hanjš,Neven Grbac
2003,Japan,Czech Republic,Karel Horák,Jaromír Šimša
2003,Japan,Slovakia,Vojtech Bálint,Juraj Földes
2003,Japan,Singapore,Yan Loi Wong,Meng Hwee David Chia
2003,Japan,Belgium,,
2003,Japan,Indonesia,,
2003,Japan,Colombia,,
2003,Japan,Azerbaijan,,
2003,Japan,Mexico,,
2003,Japan,Norway,,
2003,Japan,Armenia,,
2003,Japan,Bosnia and Herzegovina,,
2003,Japan,South Africa,Nic Heideman,David Hatton
2003,Japan,Spain,María Gaspar Alonso-Vega,Marco Castrillón López
2003,Japan,North Macedonia,,
2003,Japan,Sweden,,
2003,Japan,Italy,,
2003,Japan,Kyrgyzstan,,
2003,Japan,Latvia,,
2003,Japan,Lithuania,,
2003,Japan,Uzbekistan,,
2003,Japan,Estonia,,
2003,Japan,Finland,Matti Lehtinen,Antti Honkela
2003,Japan,Morocco,,
2003,Japan,New Zealand,,
2003,Japan,Macau,,
2003,Japan,Austria,,
2003,Japan,Peru,,
2003,Japan,Turkmenistan,,
2003,Japan,Iceland,,
2003,Japan,Trinidad and Tobago,,
2003,Japan,Netherlands,Jan Donkers,Johan Bosman
2003,Japan,Uruguay,,
2003,Japan,Denmark,Peter Trosborg,Thomas Kragh
2003,Japan,Malaysia,,
2003,Japan,Switzerland,,
2003,Japan,Luxembourg,Charles Leytem,Pascal Zeihen
2003,Japan,Albania,,
2003,Japan,Cyprus,,
2003,Japan,Puerto Rico,,
2003,Japan,Portugal,Joana Teles,Ercília Sousa
2003,Japan,Ireland,Donal Hurley,Gordon Lessells
2003,Japan,Slovenia,Gregor Dolinar,Matjaž Željko
2003,Japan,Cuba,,
2003,Japan,Ecuador,,
2003,Japan,Venezuela,,
2003,Japan,Philippines,,
2003,Japan,Kuwait,,
2003,Japan,Sri Lanka,Chanakya Janak Wijeratne,Udayanga Chandimal de Silva Udayanga Chandimal de Silva
2003,Japan,Paraguay,,
2004,Greece,People's Republic of China,Yonggao Chen,Bin Xiong
2004,Greece,United States of America,Zuming Feng,Po-Shen Loh
2004,Greece,Russian Federation,Nazar Agakhanov,Dmitri Terechine
2004,Greece,Vietnam,Thang Dang Hung,Luong Nguyen Vu
2004,Greece,Bulgaria,Emil Kolev,Nikolai Nikolov
2004,Greece,Taiwan,Tai-Cheng Tso,Wen-Liang Hung
2004,Greece,Hungary,József Pelikán,Sándor Dobos
2004,Greece,Japan,Kentaro Nagao,Akitoshi Kawamura
2004,Greece,Islamic Republic of Iran,Arash Rastegar,Omid Naghshineh Arjmand
2004,Greece,Romania,Radu-Nicolae Gologan,Bogdan Calin Enescu
2004,Greece,Ukraine,Valentyn Leyfura,Valentyna Borysova
2004,Greece,Republic of Korea,Yongjin Song,Suh-Ryung Kim
2004,Greece,Belarus,Igor Voronovich,Sergei Mazanik
2004,Greece,India,Ravindra Bapat,Vinaykumar Acharya
2004,Greece,Israel,Shay Gueron,Shoni Dar
2004,Greece,Poland,Waldemar Pompe,Adam Osękowski
2004,Greece,Republic of Moldova,Valeriu Baltag,Liubomir Chiriac
2004,Greece,Singapore,Yan Loi Wong,Teck Kian Teo
2004,Greece,Mongolia,Ts Dashdorj,D Narangerel
2004,Greece,United Kingdom,Geoff Smith,Adrian Sanders
2004,Greece,Brazil,Carlos Gustavo Tamm De Araujo Moreira,Carlos Yuzo Shine
2004,Greece,Canada,Christopher Small,Edward Wang
2004,Greece,Kazakhstan,Baidila Turesshbayev,Tildash Bituova
2004,Greece,Serbia and Montenegro,Dorde Dugosija,Vladimir Baltic
2004,Greece,Germany,Hans-Dietrich Gronau,Eric Müller
2004,Greece,Greece,Anargyros Felouris,Aggeliki Vlachou
2004,Greece,Australia,Angelo Di Pasquale,Daniel Mathews
2004,Greece,Georgia,Larry Gogoladze,George Bareladze
2004,Greece,Colombia,Federico Ardila,Jose Luis Gonzalez Zapata
2004,Greece,Hong Kong,Tat Wing Leung,Cesar Jose Alaban
2004,Greece,Slovakia,Vojtech Bálint,Ján Mazák
2004,Greece,Turkey,Okan Tekman,Azer Kerimov
2004,Greece,South Africa,Nic Heideman,David Hatton
2004,Greece,Czech Republic,Karel Horák,Jaroslav Švrček
2004,Greece,Thailand,Wicharn Lewkeeratiyutkul,Ajchara Harnchoowong
2004,Greece,Armenia,Garnik Tonoyan,Nairi Sedrakian
2004,Greece,Mexico,Radmila Bulajich Manfrino,Humperto Montalvan
2004,Greece,France,Claude Deschamps,Johan Yebbou
2004,Greece,Argentina,Patricia Fauring,Flora Gutierrez
2004,Greece,Croatia,Željko Hanjš,Mea Bombardelli
2004,Greece,Morocco,Mouloud Achouri,Abdelmoumen M. El Rhezzali
2004,Greece,Belgium,Bart Windels,Philippe Niederkorn
2004,Greece,Macau,Ieng Tak Leong,Cheng Sek Im
2004,Greece,Estonia,Harmel Nestra,Indrek Zolk
2004,Greece,Uzbekistan,Atamurat Kuchkarov,Tulkin Sultanov
2004,Greece,Sweden,Paul Vaderlind,Victor Ufnarovski
2004,Greece,Azerbaijan,Nazim Karimov,Rafig Guliyev
2004,Greece,North Macedonia,Vesna Manova-Erakovic,Valentina Miovska
2004,Greece,Italy,Roberto Dvornicich,Massimo Gobbino
2004,Greece,Slovenia,Gregor Dolinar,Irena Majcen
2004,Greece,Lithuania,Juozas Juvencijus Macys,Romualdas Kasuba
2004,Greece,Kyrgyzstan,Bekmamat Keldibaev,Buras Boljiev
2004,Greece,Latvia,Agnis Andzans,Juris Skuskovniks
2004,Greece,Indonesia,Ahmad Muchlis,Hery Susanto
2004,Greece,Albania,Fatmir Hoxha,Artur Baxhaku
2004,Greece,Spain,María Gaspar Alonso-Vega,Mercedes Sanchez
2004,Greece,Switzerland,Lorenz Reichel,Thomas Huber
2004,Greece,New Zealand,Arkadii Slinko,Simon Lindsay Marshall
